TOK,SHOT,PHASE,RGEO,AMIN,EPSILON,IP,BT,NEL,PL,KAPPA,DELTA,MEFF,TAUTH,RHO*,BETA,NU*,Q95,TAU_norm,SELDB5
ASDEX,6084,HGELM,1.697,0.41,0.24160282852091924,0.2955,2.202,3.326,2.099,0.9755068025131685,1.0,1.5,0.05996,0.0066785524695340565,0.005679589560369091,0.17084799040371837,4.547,0.08802128,1
ASDEX,6084,HGELM,1.69,0.4111,0.2432544378698225,0.2947,2.202,3.279,2.623,0.9727159716411036,1.0,1.5,0.0462,0.006819357649585725,0.005869290640404209,0.15252894295114133,4.646,0.0678216,1
ASDEX,6090,HSELM,1.693,0.4005,0.23656231541642056,0.2975,2.202,3.518,1.866,0.9980723906753869,1.0,1.5,0.04987,0.005775519269655333,0.004286918821162056,0.3551798269099646,4.12,0.07320916,1
ASDEX,6090,HSELM,1.698,0.4081,0.24034157832744407,0.2974,2.202,3.758,1.834,0.97955288801412,1.0,1.5,0.07189,0.00633749893075403,0.005725165858244323,0.24163534970022255,4.423,0.10553451999999999,1
ASDEX,6090,HGELM,1.692,0.4124,0.2437352245862884,0.2954,2.202,3.935,2.6,0.9691475681347107,1.0,1.5,0.05236,0.006575774469433253,0.006590800691652555,0.20849069371211346,4.698,0.07686448,1
ASDEX,6091,HSELM,1.689,0.4006,0.23718176435760804,0.2961,2.201,3.56,1.859,0.9982545478505563,1.0,1.5,0.0509,0.005863627444254283,0.004473700796366937,0.3389224312027596,4.15,0.07468726666666667,1
ASDEX,6091,HGELM,1.689,0.4089,0.24209591474245115,0.2952,2.201,4.024,2.318,0.9776938662074367,1.0,1.5,0.05678,0.006457743143096548,0.006390223328197967,0.2381018460270546,4.531,0.08331518666666667,1
ASDEX,6208,HSELM,1.691,0.4117,0.24346540508574807,0.2355,2.204,3.295,1.824,0.9709000341794558,1.0,1.5,0.04114,0.005020029725283541,0.003205472384268318,0.6474084094521159,5.85,0.06044837333333334,1
ASDEX,6208,HSELM,1.684,0.4172,0.2477434679334917,0.2361,2.204,3.408,2.085,0.9578689460235651,1.0,1.5,0.04364,0.005438830865437408,0.003996332380202921,0.4537092681465038,6.269,0.06412170666666667,1
ASDEX,6208,HSELM,1.675,0.4192,0.2502686567164179,0.236,2.202,3.404,2.428,0.9531600931358417,1.0,1.5,0.03805,0.005599695062850965,0.004271920520766715,0.39273405712827497,6.489,0.0558574,1
ASDEX,6292,HSELM,1.657,0.3934,0.23741701870850937,0.3717,2.2,3.396,1.661,1.0160043413647522,1.0,1.5,0.06132,0.006276015342190199,0.0047148371318580596,0.20708423338459495,3.183,0.089936,1
ASDEX,6292,HGELM,1.662,0.3985,0.23977135980746092,0.3711,2.2,3.929,1.825,1.002542087905938,1.0,1.5,0.07684,0.006776812482446891,0.006526072991678572,0.1672584321317735,3.321,0.11269866666666668,1
ASDEX,6292,HGELM,1.654,0.4008,0.24232164449818622,0.3712,2.2,3.927,2.461,0.9975784603864645,1.0,1.5,0.06196,0.007350134067101157,0.007761919918534803,0.116929484663865,3.408,0.09087466666666667,1
ASDEX,6293,HSELM,1.658,0.3939,0.23757539203860073,0.3721,2.199,3.654,1.787,1.014784706715739,1.0,1.5,0.05808,0.0061731809299455116,0.004920631310085223,0.2369811444687289,3.189,0.08514528,1
ASDEX,6293,HGELM,1.658,0.398,0.2400482509047045,0.3704,2.201,3.999,1.862,1.0040152802141045,1.0,1.5,0.07204,0.0066070720303992424,0.006297931614656933,0.18894149745464994,3.32,0.10570669333333335,1
ASDEX,6293,HGELM,1.656,0.4007,0.24196859903381643,0.3698,2.2,4.034,2.492,0.9974426344259761,1.0,1.5,0.05651,0.00699023527833743,0.007208094555873922,0.14776152320426233,3.413,0.08288133333333333,1
ASDEX,6294,HGELM,1.66,0.3995,0.24066265060240966,0.3704,2.201,3.848,1.928,1.0002609713599937,1.0,1.5,0.07297,0.006888900554182388,0.006637900999678655,0.15152624808771392,3.364,0.10707131333333332,1
ASDEX,6294,HGELM,1.655,0.4008,0.24217522658610272,0.3699,2.2,3.919,2.45,0.9969756939451432,1.0,1.5,0.05776,0.007089061131802028,0.007205604839049373,0.1353690676044431,3.42,0.08471466666666667,1
ASDEX,6295,HSELM,1.657,0.392,0.23657211828605915,0.3712,2.2,3.33,1.877,1.019494148782388,1.0,1.5,0.04631,0.006027435804793289,0.004233931857697691,0.24284097941272376,3.15,0.06792133333333333,1
ASDEX,6295,HGELM,1.659,0.4008,0.24159132007233272,0.3704,2.2,3.993,2.484,0.9972332110358967,1.0,1.5,0.05607,0.006974902010153306,0.007107113750053824,0.14755163488272402,3.403,0.082236,1
